dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/NUM/NUM785+4.p,rewrite,,CLAUSIFIED,1274,1503.598,,0.000,9683.500,,,,,2413,33,16816,21075806,74707,3003,1279,true,false,
casc-j13-fof,Problems/NUM/NUM786+4.p,rewrite,,CLAUSIFIED,1277,1619.447,,0.000,9301.569,,,,,2419,33,16847,21116083,74822,3003,1282,true,false,
casc-j13-fof,Problems/NUM/NUM787+4.p,rewrite,,CLAUSIFIED,1280,1561.930,,0.000,8830.326,,,,,2425,33,16878,21156360,74937,3003,1285,true,false,
casc-j13-fof,Problems/NUM/NUM789+4.p,rewrite,,CLAUSIFIED,1286,1521.344,,0.000,10168.143,,,,,2437,33,16940,21236914,75167,3003,1291,true,false,
casc-j13-fof,Problems/NUM/NUM795+4.p,rewrite,,CLAUSIFIED,1411,2091.869,,0.000,12388.947,,,,,2687,33,18426,23118131,81659,3003,1416,true,false,
casc-j13-fof,Problems/NUM/NUM796+4.p,rewrite,,CLAUSIFIED,1416,2242.578,,0.000,8812.096,,,,,2698,33,18495,23204993,82022,3003,1421,true,false,
casc-j13-fof,Problems/NUM/NUM835+1.p,rewrite,,CLAUSIFIED,38,168.207,,0.000,169.514,,,,,49,4,617,98404,1660,572,43,true,false,
casc-j13-fof,Problems/NUM/NUM840+1.p,rewrite,,CLAUSIFIED,38,149.179,,0.000,147.979,,,,,47,4,595,58287,1867,258,43,true,false,
casc-j13-fof,Problems/NUM/NUM853+2.p,rewrite,,CLAUSIFIED,36,165.985,,0.000,151.211,,,,,41,4,583,56306,1749,258,41,true,false,
casc-j13-fof,Problems/NUM/NUM859+1.p,rewrite,,CLAUSIFIED,13,165.669,,0.000,174.039,,,,,30,6,351,89055,1374,592,18,true,false,
casc-j13-fof,Problems/NUM/NUM860+1.p,rewrite,,CLAUSIFIED,13,168.933,,0.000,183.895,,,,,30,6,351,89819,1385,594,18,true,false,
casc-j13-fof,Problems/NUN/NUN054+1.p,rewrite,,CLAUSIFIED,18,211.598,,0.000,323.201,,,,,59,20,709,436299,2745,1121,23,true,false,
casc-j13-fof,Problems/NUN/NUN054+2.p,rewrite,,CLAUSIFIED,11,200.209,,0.000,318.326,,,,,40,20,583,369801,2151,1121,16,true,false,
casc-j13-fof,Problems/NUN/NUN056+1.p,rewrite,,CLAUSIFIED,18,208.714,,0.000,330.655,,,,,59,20,760,510425,2936,1321,23,true,false,
casc-j13-fof,Problems/NUN/NUN057+1.p,rewrite,,CLAUSIFIED,18,239.977,,0.000,336.498,,,,,59,20,757,502653,2921,1279,23,true,false,
casc-j13-fof,Problems/NUN/NUN060+1.p,rewrite,,CLAUSIFIED,18,196.338,,0.000,296.235,,,,,59,20,736,465680,2822,1143,23,true,false,
casc-j13-fof,Problems/NUN/NUN062+1.p,rewrite,,CLAUSIFIED,18,206.450,,0.000,281.466,,,,,60,22,711,454031,2711,1167,23,true,false,
casc-j13-fof,Problems/NUN/NUN065+1.p,rewrite,,CLAUSIFIED,18,220.984,,0.000,364.200,,,,,63,24,768,496485,2797,1221,23,true,false,
casc-j13-fof,Problems/NUN/NUN066+1.p,rewrite,,CLAUSIFIED,18,223.272,,0.000,428.340,,,,,64,25,785,544467,2878,1294,23,true,false,
casc-j13-fof,Problems/NUN/NUN075+1.p,rewrite,,CLAUSIFIED,18,254.341,,0.000,647.076,,,,,59,20,1033,956891,3983,1921,23,true,false,
casc-j13-fof,Problems/NUN/NUN076+1.p,rewrite,,CLAUSIFIED,18,230.662,,0.000,326.376,,,,,59,20,724,454562,2816,1151,23,true,false,
casc-j13-fof,Problems/NUN/NUN080+1.p,rewrite,,CLAUSIFIED,18,216.194,,0.000,330.929,,,,,59,20,703,423255,2705,1099,23,true,false,
casc-j13-fof,Problems/NUN/NUN082+1.p,rewrite,,CLAUSIFIED,18,187.887,,0.000,343.444,,,,,59,20,694,413783,2684,1094,23,true,false,
casc-j13-fof,Problems/NUN/NUN085+1.p,rewrite,,CLAUSIFIED,18,249.229,,0.000,340.577,,,,,64,25,740,523568,2744,1268,23,true,false,
casc-j13-fof,Problems/NUN/NUN086+1.p,rewrite,,CLAUSIFIED,18,216.713,,0.000,332.147,,,,,59,20,700,423030,2709,1100,23,true,false,
casc-j13-fof,Problems/PRD/PRD001+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/PRO/PRO011+1.p,rewrite,,CLAUSIFIED,48,444.634,,0.000,674.025,,,,,95,23,1172,866475,4846,1681,53,true,false,
casc-j13-fof,Problems/PUZ/PUZ129+2.p,rewrite,,CLAUSIFIED,0,277.135,,0.000,497.708,,,,,18,8,427,396069,1732,1718,5,true,false,
casc-j13-fof,Problems/PUZ/PUZ133+1.p,rewrite,,CLAUSIFIED,9,141.023,,0.000,149.333,,,,,24,3,222,87961,842,3989,14,true,false,
casc-j13-fof,Problems/REL/REL020+2.p,rewrite,,CLAUSIFIED,16,126.515,,0.000,74.404,,,,,18,2,253,27888,679,433,21,true,false,
casc-j13-fof,Problems/REL/REL021+1.p,rewrite,,CLAUSIFIED,13,134.693,,0.000,70.394,,,,,15,2,208,25245,499,617,18,true,false,
casc-j13-fof,Problems/REL/REL040+2.p,rewrite,,CLAUSIFIED,13,121.802,,0.000,96.931,,,,,15,3,222,80144,609,2887,18,true,false,
casc-j13-fof,Problems/SCT/SCT115+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT117+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT120+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT123+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT124+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT125+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT155+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT158+1.p,rewrite,,HARD_TIMEOUT,,0.000,,,,,,,,,,,,,,,,false,
casc-j13-fof,Problems/SCT/SCT170+3.p,rewrite,,SKIPPED,1578,0.000,,,,,,,,,,,,,,,,false,|F|=74467 > 50000
casc-j13-fof,Problems/SET/SET017+1.p,rewrite,,CLAUSIFIED,43,181.373,,0.000,205.990,,,,,93,10,767,245885,2784,651,48,true,false,
casc-j13-fof,Problems/SET/SET101+1.p,rewrite,,CLAUSIFIED,43,169.789,,0.000,186.750,,,,,90,9,750,176999,2710,503,48,true,false,
casc-j13-fof,Problems/SET/SET716+4.p,rewrite,,CLAUSIFIED,28,534.517,,0.000,3927.750,,,,,160,54,2300,7582450,13795,6899,33,true,false,
casc-j13-fof,Problems/SET/SET733+4.p,rewrite,,CLAUSIFIED,28,531.968,,0.000,3743.136,,,,,159,53,2285,7338955,13707,6758,33,true,false,
casc-j13-fof,Problems/SET/SET817+4.p,rewrite,,CLAUSIFIED,22,225.001,,0.000,472.538,,,,,80,20,931,659472,3847,1599,27,true,false,
casc-j13-fof,Problems/SET/SET964+1.p,rewrite,,CLAUSIFIED,12,196.140,,0.000,298.440,,,,,33,13,512,298023,1966,1513,17,true,false,
casc-j13-fof,Problems/SEU/SEU269+1.p,rewrite,,CLAUSIFIED,51,201.884,,0.000,323.879,,,,,92,18,893,484644,2545,1614,56,true,false,
casc-j13-fof,Problems/SEU/SEU427+4.p,rewrite,,SKIPPED,71107,0.000,,,,,,,,,,,,,,,,false,|F|=6562552 > 50000
casc-j13-fof,Problems/SEU/SEU440+4.p,rewrite,,SKIPPED,71133,0.000,,,,,,,,,,,,,,,,false,|F|=6564551 > 50000
casc-j13-fof,Problems/SEV/SEV522+1.p,rewrite,,CLAUSIFIED,19,269.868,,0.000,783.587,,,,,96,32,1234,1439495,5350,2268,24,true,false,
casc-j13-fof,Problems/SEV/SEV563+1.p,rewrite,,CLAUSIFIED,25,183.267,,0.000,303.176,,,,,80,17,764,378405,2869,843,30,true,false,
casc-j13-fof,Problems/SEV/SEV569+1.p,rewrite,,CLAUSIFIED,25,189.297,,0.000,295.923,,,,,80,17,764,411871,2875,901,30,true,false,
casc-j13-fof,Problems/SEV/SEV581+1.p,rewrite,,CLAUSIFIED,25,188.795,,0.000,273.085,,,,,80,17,764,370337,2866,829,30,true,false,
casc-j13-fof,Problems/SEV/SEV606+1.p,rewrite,,SKIPPED,1727,0.000,,,,,,,,,,,,,,,,false,|F|=75024 > 50000
casc-j13-fof,Problems/SEV/SEV607+1.p,rewrite,,SKIPPED,2360,0.000,,,,,,,,,,,,,,,,false,|F|=113101 > 50000
casc-j13-fof,Problems/SEV/SEV608+1.p,rewrite,,SKIPPED,2867,0.000,,,,,,,,,,,,,,,,false,|F|=238082 > 50000
casc-j13-fof,Problems/SEV/SEV609+1.p,rewrite,,SKIPPED,2900,0.000,,,,,,,,,,,,,,,,false,|F|=130028 > 50000
casc-j13-fof,Problems/SEV/SEV610+1.p,rewrite,,SKIPPED,2777,0.000,,,,,,,,,,,,,,,,false,|F|=156521 > 50000
casc-j13-fof,Problems/SEV/SEV612+1.p,rewrite,,SKIPPED,2852,0.000,,,,,,,,,,,,,,,,false,|F|=182838 > 50000
casc-j13-fof,Problems/SEV/SEV616+1.p,rewrite,,SKIPPED,2862,0.000,,,,,,,,,,,,,,,,false,|F|=120676 > 50000
casc-j13-fof,Problems/SEV/SEV618+1.p,rewrite,,SKIPPED,2435,0.000,,,,,,,,,,,,,,,,false,|F|=175426 > 50000
casc-j13-fof,Problems/SEV/SEV620+1.p,rewrite,,SKIPPED,2723,0.000,,,,,,,,,,,,,,,,false,|F|=119695 > 50000
casc-j13-fof,Problems/SEV/SEV621+1.p,rewrite,,SKIPPED,2708,0.000,,,,,,,,,,,,,,,,false,|F|=123901 > 50000
casc-j13-fof,Problems/SEV/SEV622+1.p,rewrite,,SKIPPED,2761,0.000,,,,,,,,,,,,,,,,false,|F|=137006 > 50000
casc-j13-fof,Problems/SEV/SEV625+1.p,rewrite,,SKIPPED,2847,0.000,,,,,,,,,,,,,,,,false,|F|=125368 > 50000
casc-j13-fof,Problems/SEV/SEV626+1.p,rewrite,,SKIPPED,2838,0.000,,,,,,,,,,,,,,,,false,|F|=125386 > 50000
casc-j13-fof,Problems/SEV/SEV627+1.p,rewrite,,SKIPPED,2813,0.000,,,,,,,,,,,,,,,,false,|F|=124040 > 50000
casc-j13-fof,Problems/SEV/SEV629+1.p,rewrite,,SKIPPED,2962,0.000,,,,,,,,,,,,,,,,false,|F|=127134 > 50000
casc-j13-fof,Problems/SEV/SEV630+1.p,rewrite,,SKIPPED,2559,0.000,,,,,,,,,,,,,,,,false,|F|=144174 > 50000
casc-j13-fof,Problems/SEV/SEV631+1.p,rewrite,,SKIPPED,3117,0.000,,,,,,,,,,,,,,,,false,|F|=184866 > 50000
casc-j13-fof,Problems/SEV/SEV634+1.p,rewrite,,SKIPPED,2534,0.000,,,,,,,,,,,,,,,,false,|F|=178527 > 50000
